Syed Usama, Syed Bokhari, Student, EE, 21L5200, 30/01/2002, 20-A, Bahria Town, Lahore. 03334446545
Asmara Zia, Zia Ahmed, Student, DS, 21L5227, 04/16/2002, 19-G, Township, lahore. 030025983657
Zia Ali, Ahmed Bisam, Faculty, CS, 21L5228, 03/12/2000, 99-A, DHA EME, Lahore. 030014526987
Bisam Ahmed, Zai Ali, Student, Medical, 21L5229, 09/09/1999, 08-P, Iqbal Town, Lahore. 03317332511
Sheroz Ahmed, Abdullah Khan, Faculty, CS, 21L5230, 03/05/2000, 9-D, Wah Cantt, Lahore. 03318349798
Aslam Ali, Sheroz Ahmed, Student, DS, 21L5231, 14/11/1978, 21-C, Bahria Town, Lahore. 03124567399
Faheem Ali, Ehsan Ellahi, Student, DS, 21L5232, 11/12/1948, 21-C, Johar town, Lahore. 031246788399
Ali Khan, Aslam Ali, Staff, SE, 21L5233, 09/02/2012, 10-K, DHA, Karachi. 03224251265
Talha Ahmed, Ahmed Faheem , Faculty, ACCA, 21L5234, 09/12/2002, 13-G, DHA EME, Lahore. 03241574633
Abdullah Fayyaz, Fayyaz Hussain, Student, CS, 21L5235, 06/06/2004, 150-C, Township, Lahore. 03317332377
Momina Munir, Munir Zahid, Student, BBA, 21L5235, 17/02/1994, 345-D, Johar Town, Lahore. 03194567891
Fizza Khawar, Khawar Mehmood, Faculty, LLB, 21l5236, 18/04/1989, 35-A, DHA EME, Lahore. 03194567891
Nazeeha Ashfan, Ashfan Nauroze, Student, Arts, 21L5237, 19/03/2004, 36-E, Bahria Town, Hunza. 03124567894
Ali Shoja, Anwar Ali, Staff, LLB, 21L5238, 12/03/1995, 64-C, Township, Lahore. 03145674897
Mustafa Qureshi, Hamdan Qureshi, Student, CS, 21L5239, 11/05/1999, 67-A, Park View, Lahore. 03147896461
Moeez Ahmed, Ahmed Ali, Student, LLB, 21L5240, 12/05/2000, 35-A, DHA EME, Lahore. 03194786891
Asfand Ali, Ali Rehman, Faculty, ACCA, 21L5241, 14/06/1998, 11-A, Wah Cantt, Islamabad. 03476265789
Saim Rehman, Abdul Rehman, Staff, Arts, 21L5242, 15/12/2001, 74-C, DHA EME, Lahore. 03197586891
Aena Khan, Zamaan Khan, Student, Architechture, 21L5243, 16/11/1997, 94-D, Park View, Lahore. 03147896641
Nouman Shah, Syed Kareem, Faculty, Arts, 21L5244, 14/09/1994, 56-A, DHA EME, Lahore. 03194567451
Daniyal Hayat, Hayat Ali, Staff, CS, 21L5245, 15/16/1964, 435-D, Johar Town, Lahore. 03165567891
Danish Roomi, Hassan Roomi, Student, CE, 21L5246, 3/1/2000, 224-C, Township, Lahore. 03455674897
Umair Chughtai, Azeem Chughtai, Student, ACCA, 21L5247, 4/2/2001, 27-A, Valencia, Lahore. 03147845641
Taimoor Salahuddin, Yousaf Salahuddin, Faculty, Arts, 21L5248, 20/12/1980, 99-E, Bahria Town, Hunza. 03334567894
Abdul Hannan, Ali Raza, Staff, EE, 21L5249, 1/1/2001, 99-D, Johar Town, Lahore. 03674567891
Umer Farooq, Farooq Ahmed, Student, Arts, 21L5250, 2/1/2001, 41-B, Wah Cantt, Islamabad. 03476265789






            
